城市,景点名,地点,距离,坐标,评论数,评论分,热评分,封面,是否免费,价格,原价,类别信息,标签,是否5A
上海,上海体育馆（上海大舞台）,徐家汇地区,距市中心6.4km,"31.187901, 121.44466",45,4.4,5.4,https://dimg04.c-ctrip.com/images/01011120009e0wv1b4764.jpg,True,0,0,,场馆展馆,
上海,安徒生童话乐园,江湾/五角场商业区,距市中心11.0km,"31.329548, 121.517837",1313,4.0,5.3,https://dimg04.c-ctrip.com/images/0102812000a394t3uA3B2.jpg,False,75.0,180.0,,"遛娃宝藏地, 游乐场",
上海,2025 F1 喜力中国大奖赛,,距市中心26.5km,"31.343655, 121.23171",0,0.0,5.3,https://dimg04.c-ctrip.com/images/0106t12000inownv670CD.jpg,False,0,0,,赛事,
上海,锦江乐园,上海火车南站地区,距市中心11.8km,"31.145542, 121.415479",3562,4.3,5.3,https://dimg04.c-ctrip.com/images/10071f000001h6wlz30A3.jpg,False,110.0,0,,"遛娃宝藏地, 游乐场",4A
上海,上海琉璃艺术博物馆,打浦桥地区,距市中心2.5km,"31.213833, 121.476865",704,4.4,5.3,https://dimg04.c-ctrip.com/images/350w1b000001aaixh271B.jpg,False,54.0,60.0,,"特色展馆, 博物馆",
上海,金山城市沙滩,金山城市沙滩地区,距市中心59.3km,"30.714121, 121.35589",1634,4.3,5.3,https://dimg04.c-ctrip.com/images/0101012000h46334b7EC5.jpg,False,10.0,0.0,,"遛娃宝藏地, 海滨沙滩",4A
上海,上海 · “新·国风”音乐剧《锦衣卫之刀与花》,徐家汇地区,距市中心5.3km,"31.199211, 121.446443",0,0.0,5.3,https://dimg04.c-ctrip.com/images/0106m12000fp9lcb42260.png,False,0,0,,"演出, 话剧",
上海,上海 · Standby小鹿脱口秀专场  《我的中女时代》,前滩,距市中心8.9km,"31.156571, 121.49152",0,0.0,5.3,https://dimg04.c-ctrip.com/images/0104e12000ikg7mt13772.jpg,False,0,0,,"演出, 脱口秀",
上海,滴水湖,滴水湖临港地区,距市中心58.4km,"30.898692, 121.948201",339,4.5,5.3,https://dimg04.c-ctrip.com/images/0104s120008aolm6q4AF9.jpg,True,0,0,,"踏青必去, 自然山水",
上海,枫泾古镇,金山枫泾古镇地区,距市中心58.0km,"30.893215, 121.022069",917,4.3,5.3,https://dimg04.c-ctrip.com/images/10021f000001gxcsa66B7.jpg,True,0,0,上海近期热门景点榜 No.3,"踏青必去, 古镇古村",4A
上海,上海 · Storm/良言/贤鱼爆笑领衔 | 综艺卡司脱口秀-喜剧联盒国,淮海路/新天地地区,距市中心1.2km,"31.226824, 121.485735",0,0.0,5.2,https://dimg04.c-ctrip.com/images/0106n12000iiw4u700AA4.jpg,False,0,0,,"演出, 脱口秀",
上海,世纪公园,新国际博览中心/世博园,距市中心7.7km,"31.222046, 121.558979",7881,4.8,5.2,https://dimg04.c-ctrip.com/images/0105312000f6pxf2g5707.jpg,True,0,0,,"遛娃宝藏地, 赏花胜地",4A
上海,【上海】《JINKY HUANG x HELLO KITTY |「柘柘之境」》展览,淮海路/新天地地区,距市中心1.2km,"31.226616, 121.475495",2,5.0,5.2,https://dimg04.c-ctrip.com/images/0104w12000gajm8i9843F.png,False,0,0,,"特色展馆, 展览",
上海,上海共青森林公园,江湾/五角场商业区,距市中心12.4km,"31.325265, 121.55837",2005,4.8,5.2,https://dimg04.c-ctrip.com/images/1lo4n12000dkturut528C.jpg,True,0,0,,"遛娃宝藏地, 踏青必去",4A
上海,叙宴(上海旗舰店),大宁国际商业区,距市中心7.2km,"31.300401, 121.465053",476,5.0,5.2,https://dimg04.c-ctrip.com/images/1lo1n12000eccd8ijB1B8.jpg,False,398.0,698.0,上海夜游必打卡榜 No.19,踏青必去,
上海,上海大观园,青浦朱家角/东方绿舟,距市中心56.5km,"31.079491, 120.916603",2063,4.6,5.2,https://dimg04.c-ctrip.com/images/1lo7212000dpymylh0B47.jpg,False,50.0,55.0,,"踏青必去, 园林花园",4A
上海,安福路,淮海路/新天地地区,距市中心3.4km,"31.220296, 121.44986",139,4.7,5.2,https://dimg04.c-ctrip.com/images/1A091800000159evl2D51.jpg,True,0,0,,"赏花胜地, 城市漫步",
上海,静安雕塑公园,静安寺/南京西路,距市中心1.0km,"31.240967, 121.47046",423,4.7,5.2,https://dimg04.c-ctrip.com/images/0105112000eyqi9ta2957.jpg,True,0,0,,赏花胜地,
上海,上海邮政博物馆,北外滩地区,距市中心1.9km,"31.25014, 121.491381",411,4.7,5.2,https://dimg04.c-ctrip.com/images/0104212000ilmfpkk6B58.jpg,True,0,0,北外滩旅游度假区亲子景点榜 No.1,"博物馆, 场馆展馆",
上海,苏州河,外滩核心区,距市中心2.0km,"31.249829, 121.493465",745,4.7,5.2,https://dimg04.c-ctrip.com/images/10051f000001gssqv8B10.jpg,True,0,0,,"赏花胜地, 自然山水",
上海,奈尔宝儿童科技馆(上海店),上海火车南站地区,距市中心7.5km,"31.170115, 121.467226",77,4.3,5.2,https://dimg04.c-ctrip.com/images/0105z12000a8ymoliF6AA.jpg,False,198.0,498.0,,科技馆,
上海,上海市历史博物馆,人民广场地区,距市中心253m,"31.236678, 121.477587",422,0,5.2,https://dimg04.c-ctrip.com/images/1lo1x12000c4pj4y6F084.jpg,True,0,0,,"博物馆, 场馆展馆",
上海,时空缆车,滴水湖临港地区,距市中心54.2km,"30.918408, 121.910114",678,4.5,5.2,https://dimg04.c-ctrip.com/images/01033120009bwuwg7D908.jpg,False,0,0,,夜游观景,
上海,上海 · keshi 2025《REQUIEM》巡演,新国际博览中心/世博园,距市中心5.0km,"31.19446, 121.499982",0,0.0,5.2,https://dimg04.c-ctrip.com/images/0104312000iqcovuz0FDA.jpg,False,0,0,,演唱会,
上海,上海沉浸式戏剧体验,上海,中国,"31.016708, 121.318804",0,0.0,5.2,https://dimg04.c-ctrip.com/images/100g10000000osxku5B00.jpg,False,0,0,上海特色体验榜 No.8,,
上海,“水晶公主”黄浦江游船,外滩核心区,距市中心2.7km,"31.231249, 121.507942",117,4.1,5.2,https://dimg04.c-ctrip.com/images/01063120008ecuppd385E.jpg,False,374.5,438.0,上海夜游必打卡榜 No.20,"夜游观景, 乘船游览 ",
上海,碧海金沙,奉贤开发区,距市中心45.8km,"30.830184, 121.556153",1241,4.2,5.1,https://dimg04.c-ctrip.com/images/100g1f000001gqwyzBFCB.jpg,False,30.0,0,,海滨沙滩,4A
上海,上海 · 音乐剧《SIX》,静安寺/南京西路,距市中心1.7km,"31.235915, 121.462748",1,5.0,5.1,https://dimg04.c-ctrip.com/images/0102912000g910j4o2CA6.png,False,0,0,,"演出, 话剧",
上海,1192弄老上海风情街(世纪汇广场店),陆家嘴,距市中心5.0km,"31.234083, 121.532799",375,4.6,5.1,https://dimg04.c-ctrip.com/images/1A0g1c000001dzeln4C7E.jpg,True,0,0,,城市漫步,
上海,东滩湿地公园,崇明岛/长兴岛/横沙岛,距市中心55.6km,"31.522824, 121.958816",1543,4.2,5.1,https://dimg04.c-ctrip.com/images/100t1h000001hlkx4C8E7.jpg,False,45.0,50.0,,"赏花胜地, 植物园",4A
上海,超级时空魔方(上海元宇宙体验馆),北外滩地区,距市中心3.2km,"31.254715, 121.505563",113,3.7,5.1,https://dimg04.c-ctrip.com/images/01A4812000b5rfkizAFC9.jpg,False,98.0,0.0,,"特色展馆, 夜游观景",
上海,上海 · 音乐剧《时光代理人》,淮海路/新天地地区,距市中心907m,"31.228258, 121.479242",0,0.0,5.1,https://dimg04.c-ctrip.com/images/0100p12000cfv919m3C9A.jpg,False,0,0,,"演出, 话剧",
上海,上海 · 林志炫ONEtake2.0《我忘了我已老去》巡回演唱会,,距市中心8.3km,"31.161852, 121.48398",0,0.0,5.1,https://dimg04.c-ctrip.com/images/0106012000bvkvob6C552.png,False,0,0,,演唱会,
上海,上海参观民国建筑,上海,中国,"31.243453, 121.497204",0,0.0,5.1,https://dimg04.c-ctrip.com/images/100s0f0000007gibsA35A.jpg,False,0,0,上海特色体验榜 No.9,,
上海,上海赏水杉,上海,中国,"31.325265, 121.55837",0,0.0,5.1,https://dimg04.c-ctrip.com/images/0101412000heo38xpD2E0.jpg,False,0,0,上海特色体验榜 No.10,,
上海,徐家汇书院,徐家汇地区,距市中心5.6km,"31.197035, 121.443535",49,4.7,5.1,https://dimg04.c-ctrip.com/images/0106f12000f29wglyE4F7.jpg,True,0,0,,,
上海,351米太空舱,陆家嘴,距市中心2.7km,"31.245215, 121.506569",64,4.5,5.0,https://dimg04.c-ctrip.com/images/01064120005zur6b6B8E1.jpg,False,299.0,399.0,,"科技馆, 地标观景",
上海,上海 · 后街男孩-NICK CARTER 尼克·卡特WHO IAM 巡回音乐会·上海站,前滩,距市中心8.9km,"31.156571, 121.49152",0,0.0,5.0,https://dimg04.c-ctrip.com/images/0100k12000ie99aew0680.png,False,0,0,,演唱会,
上海,上海 · 迈克学摇滚《Take us to your heart》巡演,虹桥机场/国家会展中心,距市中心17.0km,"31.196089, 121.308381",0,0.0,5.0,https://dimg04.c-ctrip.com/images/0101812000dg80fviDCFA.jpg,False,0,0,,演唱会,
上海,上海佛罗伦萨小镇,浦东机场核心区,距市中心28.0km,"31.202391, 121.771214",149,4.6,5.0,https://dimg04.c-ctrip.com/images/0101z12000a2ju8jj7D98.jpg,True,0,0,,地标观景,
上海,红皇后御花园,迪士尼度假区,距市中心20.1km,"31.150743, 121.665995",14066,4.8,5.0,https://dimg04.c-ctrip.com/images/0104o12000f6ptuliAE37.jpg,False,0,0,,"游乐场, 夜游观景",
