序号,景区名称,客流数,舒适度,时间
387225,上海植物园,5207,舒适,2018/7/31 23:59
387226,上海植物园,5207,舒适,2018/7/31 23:58
387227,上海田子坊景区,200,舒适,2018/7/31 23:58
387228,上海鲁迅公园,6573,较舒适,2018/7/31 23:58
387229,上海老码头景区,246,舒适,2018/7/31 23:58
387230,东方假日田园,0,舒适,2018/7/31 23:58
387231,上海月湖雕塑公园,0,舒适,2018/7/31 23:58
387232,上海植物园,5207,舒适,2018/7/31 23:57
387233,上海影视乐园,200,舒适,2018/7/31 23:57
387234,上海召稼楼景区,0,舒适,2018/7/31 23:57
387235,上海大观园,3,舒适,2018/7/31 23:57
387236,上海植物园,5207,舒适,2018/7/31 23:56
387237,上海科技馆,0,舒适,2018/7/31 23:56
387238,上海鲁迅公园,6571,较舒适,2018/7/31 23:56
387239,朱家角古镇,689,舒适,2018/7/31 23:55
387240,上海长风公园,0,舒适,2018/7/31 23:55
387241,上海国际时尚中心,83,舒适,2018/7/31 23:55
387242,上海老码头景区,212,舒适,2018/7/31 23:55
387243,上海古猗园,0,舒适,2018/7/31 23:55
387244,上海植物园,5207,舒适,2018/7/31 23:55
387245,上海鲁迅公园,6565,较舒适,2018/7/31 23:54
387246,上海世纪公园,846,舒适,2018/7/31 23:54
387247,中国航海博物馆,564,舒适,2018/7/31 23:54
387248,上海月湖雕塑公园,0,舒适,2018/7/31 23:53
387249,上海植物园,5207,舒适,2018/7/31 23:53
387250,东方假日田园,0,舒适,2018/7/31 23:53
387251,上海老码头景区,335,舒适,2018/7/31 23:52
387252,上海影视乐园,200,舒适,2018/7/31 23:52
387253,上海田子坊景区,200,舒适,2018/7/31 23:52
387254,周浦花海,1395,较舒适,2018/7/31 23:52
387255,上海召稼楼景区,0,舒适,2018/7/31 23:52
387256,上海召稼楼景区,0,舒适,2018/7/31 23:52
387257,上海召稼楼景区,0,舒适,2018/7/31 23:52
387258,上海植物园,5207,舒适,2018/7/31 23:52
387259,上海鲁迅公园,6573,较舒适,2018/7/31 23:52
387260,上海大观园,3,舒适,2018/7/31 23:52
387261,上海植物园,5207,舒适,2018/7/31 23:51
387262,上海植物园,5207,舒适,2018/7/31 23:50
387263,上海科技馆,0,舒适,2018/7/31 23:50
387264,上海古猗园,0,舒适,2018/7/31 23:50
387265,上海鲁迅公园,6575,较舒适,2018/7/31 23:50
387266,上海老码头景区,457,舒适,2018/7/31 23:49
387267,上海植物园,5207,舒适,2018/7/31 23:49
