序号,景区名称,客流数,舒适度,时间
387268,上海植物园,5207,舒适,2018/7/31 23:48
387269,东方假日田园,0,舒适,2018/7/31 23:48
387270,上海鲁迅公园,6570,较舒适,2018/7/31 23:48
387271,上海植物园,5207,舒适,2018/7/31 23:47
387272,上海田子坊景区,200,舒适,2018/7/31 23:47
387273,上海影视乐园,200,舒适,2018/7/31 23:47
387274,上海召稼楼景区,0,舒适,2018/7/31 23:47
387275,上海月湖雕塑公园,0,舒适,2018/7/31 23:47
387276,上海召稼楼景区,0,舒适,2018/7/31 23:47
387277,上海大观园,3,舒适,2018/7/31 23:47
387278,上海鲁迅公园,6578,较舒适,2018/7/31 23:46
387279,上海海湾国家森林公园,72,舒适,2018/7/31 23:46
387280,上海植物园,5207,舒适,2018/7/31 23:46
387281,上海辰山植物园,22,舒适,2018/7/31 23:46
387282,上海和平公园,2680,舒适,2018/7/31 23:46
387283,上海老码头景区,280,舒适,2018/7/31 23:46
387284,上海古猗园,0,舒适,2018/7/31 23:45
387285,上海嘉定州桥,232,舒适,2018/7/31 23:45
387286,上海植物园,5207,舒适,2018/7/31 23:45
387287,中国航海博物馆,564,舒适,2018/7/31 23:45
387288,上海科技馆,0,舒适,2018/7/31 23:45
387289,上海植物园,5207,舒适,2018/7/31 23:44
387290,上海世纪公园,846,舒适,2018/7/31 23:44
387291,上海鲁迅公园,6579,较舒适,2018/7/31 23:44
387292,东方假日田园,0,舒适,2018/7/31 23:43
387293,上海老码头景区,403,舒适,2018/7/31 23:43
387294,上海植物园,5207,舒适,2018/7/31 23:42
387295,周浦花海,1395,较舒适,2018/7/31 23:42
387296,上海召稼楼景区,0,舒适,2018/7/31 23:42
387297,上海大观园,3,舒适,2018/7/31 23:42
387298,上海影视乐园,200,舒适,2018/7/31 23:42
387299,上海召稼楼景区,0,舒适,2018/7/31 23:42
387300,上海召稼楼景区,0,舒适,2018/7/31 23:42
387301,上海鲁迅公园,6579,较舒适,2018/7/31 23:42
387302,上海月湖雕塑公园,0,舒适,2018/7/31 23:42
387303,上海田子坊景区,200,舒适,2018/7/31 23:41
387304,上海植物园,5207,舒适,2018/7/31 23:41
387305,上海植物园,5207,舒适,2018/7/31 23:40
387306,上海鲁迅公园,6577,较舒适,2018/7/31 23:40
387307,上海科技馆,0,舒适,2018/7/31 23:40
387308,上海长风公园,0,舒适,2018/7/31 23:40
387309,上海古猗园,0,舒适,2018/7/31 23:40
387310,上海老码头景区,226,舒适,2018/7/31 23:40
387311,上海植物园,5207,舒适,2018/7/31 23:39
387312,东方假日田园,0,舒适,2018/7/31 23:38
387313,上海鲁迅公园,6567,较舒适,2018/7/31 23:38
387314,上海植物园,5207,舒适,2018/7/31 23:38
387315,上海老码头景区,492,舒适,2018/7/31 23:37
387316,上海影视乐园,200,舒适,2018/7/31 23:37
387317,上海月湖雕塑公园,0,舒适,2018/7/31 23:37
387318,上海召稼楼景区,0,舒适,2018/7/31 23:37
387319,上海召稼楼景区,0,舒适,2018/7/31 23:37
387320,上海植物园,5207,舒适,2018/7/31 23:37
387321,上海大观园,3,舒适,2018/7/31 23:37
387322,上海植物园,5207,舒适,2018/7/31 23:36
387323,上海田子坊景区,200,舒适,2018/7/31 23:36
387324,上海鲁迅公园,6570,较舒适,2018/7/31 23:36
387325,上海植物园,5207,舒适,2018/7/31 23:35
387326,朱家角古镇,684,舒适,2018/7/31 23:35
387327,上海和平公园,2680,舒适,2018/7/31 23:35
387328,上海科技馆,0,舒适,2018/7/31 23:35
387329,上海古猗园,0,舒适,2018/7/31 23:35
387330,上海世纪公园,846,舒适,2018/7/31 23:34
387331,上海鲁迅公园,6568,较舒适,2018/7/31 23:34
387332,上海植物园,5207,舒适,2018/7/31 23:34
387333,中国航海博物馆,564,舒适,2018/7/31 23:33
387334,上海老码头景区,315,舒适,2018/7/31 23:33
387335,东方假日田园,0,舒适,2018/7/31 23:33
387336,上海植物园,5207,舒适,2018/7/31 23:33
387337,上海鲁迅公园,6566,较舒适,2018/7/31 23:32
387338,上海影视乐园,200,舒适,2018/7/31 23:32
387339,周浦花海,1395,较舒适,2018/7/31 23:32
387340,上海植物园,5207,舒适,2018/7/31 23:32
387341,上海大观园,3,舒适,2018/7/31 23:32
387342,上海召稼楼景区,0,舒适,2018/7/31 23:32
387343,上海召稼楼景区,0,舒适,2018/7/31 23:32
387344,上海月湖雕塑公园,0,舒适,2018/7/31 23:32
387345,上海辰山植物园,22,舒适,2018/7/31 23:31
387346,上海海湾国家森林公园,72,舒适,2018/7/31 23:31
387347,上海植物园,5207,舒适,2018/7/31 23:30
387348,上海鲜花港,34,舒适,2018/7/31 23:30
387349,上海市青少年校外活动营地——东方绿舟,2244,舒适,2018/7/31 23:30
387350,碧海金沙景区,34,舒适,2018/7/31 23:30
387351,上海科技馆,0,舒适,2018/7/31 23:30
387352,上海花米庄行乡村旅游景区,0,舒适,2018/7/31 23:30
387353,上海鲁迅公园,6555,较舒适,2018/7/31 23:30
387354,上海玉穗绿苑,0,舒适,2018/7/31 23:30
387355,上海中医药博物馆,62,舒适,2018/7/31 23:30
387356,上海都市菜园景区,34,舒适,2018/7/31 23:30
387357,上海嘉定州桥,280,舒适,2018/7/31 23:30
387358,上海田子坊景区,200,舒适,2018/7/31 23:30
387359,上海老码头景区,437,舒适,2018/7/31 23:30
387360,上海古猗园,0,舒适,2018/7/31 23:30
387361,上海植物园,5207,舒适,2018/7/31 23:29
387362,上海植物园,5207,舒适,2018/7/31 23:28
387363,东方假日田园,0,舒适,2018/7/31 23:28
387364,上海鲁迅公园,6554,较舒适,2018/7/31 23:28
387365,上海植物园,5207,舒适,2018/7/31 23:27
387366,上海影视乐园,200,舒适,2018/7/31 23:27
387367,上海召稼楼景区,0,舒适,2018/7/31 23:27
387368,上海召稼楼景区,0,舒适,2018/7/31 23:27
387369,上海月湖雕塑公园,0,舒适,2018/7/31 23:27
387370,上海大观园,3,舒适,2018/7/31 23:27
387371,上海老码头景区,260,舒适,2018/7/31 23:27
387372,上海召稼楼景区,0,舒适,2018/7/31 23:27
387373,上海植物园,5207,舒适,2018/7/31 23:26
387374,上海鲁迅公园,6553,较舒适,2018/7/31 23:26
387375,上海科技馆,0,舒适,2018/7/31 23:25
387376,上海长风公园,0,舒适,2018/7/31 23:25
387377,上海植物园,5207,舒适,2018/7/31 23:25
387378,上海古猗园,0,舒适,2018/7/31 23:25
387379,上海和平公园,2680,舒适,2018/7/31 23:25
387380,上海田子坊景区,200,舒适,2018/7/31 23:25
387381,上海老码头景区,383,舒适,2018/7/31 23:24
387382,中国航海博物馆,564,舒适,2018/7/31 23:24
387383,上海世纪公园,846,舒适,2018/7/31 23:24
387384,上海鲁迅公园,6548,较舒适,2018/7/31 23:24
387385,上海植物园,5207,舒适,2018/7/31 23:24
387386,上海植物园,5207,舒适,2018/7/31 23:23
387387,东方假日田园,0,舒适,2018/7/31 23:23
387388,上海植物园,5207,舒适,2018/7/31 23:22
387389,上海鲁迅公园,6550,较舒适,2018/7/31 23:22
387390,上海大观园,3,舒适,2018/7/31 23:22
387391,周浦花海,1395,较舒适,2018/7/31 23:22
387392,上海月湖雕塑公园,0,舒适,2018/7/31 23:22
387393,上海召稼楼景区,0,舒适,2018/7/31 23:21
387394,上海召稼楼景区,0,舒适,2018/7/31 23:21
387395,上海老码头景区,206,舒适,2018/7/31 23:21
387396,上海影视乐园,200,舒适,2018/7/31 23:21
387397,上海植物园,5207,舒适,2018/7/31 23:21
387398,上海植物园,5207,舒适,2018/7/31 23:20
387399,上海古猗园,0,舒适,2018/7/31 23:20
387400,上海鲁迅公园,6547,较舒适,2018/7/31 23:20
387401,上海科技馆,0,舒适,2018/7/31 23:19
387402,上海田子坊景区,200,舒适,2018/7/31 23:19
387403,上海植物园,5207,舒适,2018/7/31 23:18
387404,上海老码头景区,472,舒适,2018/7/31 23:18
387405,东方假日田园,0,舒适,2018/7/31 23:18
387406,上海鲁迅公园,6545,较舒适,2018/7/31 23:18
387407,上海月湖雕塑公园,0,舒适,2018/7/31 23:17
387408,上海植物园,5207,舒适,2018/7/31 23:17
387409,上海大观园,3,舒适,2018/7/31 23:17
387410,上海鲁迅公园,6538,较舒适,2018/7/31 23:16
387411,上海海湾国家森林公园,72,舒适,2018/7/31 23:16
387412,上海影视乐园,200,舒适,2018/7/31 23:16
387413,上海植物园,5207,舒适,2018/7/31 23:16
387414,上海召稼楼景区,0,舒适,2018/7/31 23:16
387415,上海召稼楼景区,0,舒适,2018/7/31 23:16
387416,上海召稼楼景区,0,舒适,2018/7/31 23:16
387417,上海辰山植物园,22,舒适,2018/7/31 23:16
387418,上海植物园,5207,舒适,2018/7/31 23:15
387419,朱家角古镇,690,舒适,2018/7/31 23:15
387420,上海古猗园,0,舒适,2018/7/31 23:15
387421,上海和平公园,2680,舒适,2018/7/31 23:15
387422,上海老码头景区,294,舒适,2018/7/31 23:15
387423,中国航海博物馆,564,舒适,2018/7/31 23:15
387424,上海嘉定州桥,324,舒适,2018/7/31 23:15
387425,上海植物园,5207,舒适,2018/7/31 23:14
387426,上海科技馆,0,舒适,2018/7/31 23:14
387427,上海田子坊景区,200,舒适,2018/7/31 23:14
387428,上海鲁迅公园,6534,较舒适,2018/7/31 23:14
387429,上海世纪公园,846,舒适,2018/7/31 23:14
387430,东方假日田园,0,舒适,2018/7/31 23:13
387431,上海植物园,5207,舒适,2018/7/31 23:13
387432,上海鲁迅公园,6525,较舒适,2018/7/31 23:12
387433,上海月湖雕塑公园,0,舒适,2018/7/31 23:12
387434,上海植物园,5207,舒适,2018/7/31 23:12
387435,上海老码头景区,417,舒适,2018/7/31 23:12
387436,上海大观园,3,舒适,2018/7/31 23:12
387437,周浦花海,1395,较舒适,2018/7/31 23:12
387438,上海影视乐园,200,舒适,2018/7/31 23:11
387439,上海植物园,5207,舒适,2018/7/31 23:11
387440,上海召稼楼景区,0,舒适,2018/7/31 23:11
387441,上海召稼楼景区,0,舒适,2018/7/31 23:11
387442,上海鲁迅公园,6514,较舒适,2018/7/31 23:10
387443,上海植物园,5207,舒适,2018/7/31 23:10
387444,上海古猗园,0,舒适,2018/7/31 23:10
387445,上海长风公园,0,舒适,2018/7/31 23:10
387446,上海科技馆,0,舒适,2018/7/31 23:09
387447,上海植物园,5207,舒适,2018/7/31 23:09
387448,上海老码头景区,240,舒适,2018/7/31 23:09
387449,上海田子坊景区,200,舒适,2018/7/31 23:08
387450,东方假日田园,0,舒适,2018/7/31 23:08
387451,上海鲁迅公园,6516,较舒适,2018/7/31 23:08
387452,上海植物园,5207,舒适,2018/7/31 23:07
387453,上海大观园,3,舒适,2018/7/31 23:07
387454,上海月湖雕塑公园,0,舒适,2018/7/31 23:07
387455,上海召稼楼景区,0,舒适,2018/7/31 23:06
387456,上海召稼楼景区,0,舒适,2018/7/31 23:06
387457,上海植物园,5207,舒适,2018/7/31 23:06
387458,上海召稼楼景区,0,舒适,2018/7/31 23:06
387459,上海影视乐园,200,舒适,2018/7/31 23:06
387460,上海老码头景区,363,舒适,2018/7/31 23:06
387461,上海鲁迅公园,6497,较舒适,2018/7/31 23:06
387462,上海和平公园,2680,舒适,2018/7/31 23:05
387463,上海古猗园,0,舒适,2018/7/31 23:05
387464,上海植物园,5207,舒适,2018/7/31 23:05
387465,上海植物园,5207,舒适,2018/7/31 23:04
387466,上海世纪公园,846,舒适,2018/7/31 23:04
387467,上海科技馆,0,舒适,2018/7/31 23:04
387468,上海鲁迅公园,6479,较舒适,2018/7/31 23:04
387469,上海植物园,5207,舒适,2018/7/31 23:03
387470,上海田子坊景区,200,舒适,2018/7/31 23:03
387471,中国航海博物馆,564,舒适,2018/7/31 23:03
387472,上海老码头景区,486,舒适,2018/7/31 23:03
387473,东方假日田园,0,舒适,2018/7/31 23:03
387474,上海植物园,5207,舒适,2018/7/31 23:02
387475,上海大观园,3,舒适,2018/7/31 23:02
387476,周浦花海,1395,较舒适,2018/7/31 23:02
387477,上海鲁迅公园,6471,较舒适,2018/7/31 23:02
387478,上海植物园,5207,舒适,2018/7/31 23:01
387479,上海海湾国家森林公园,72,舒适,2018/7/31 23:01
387480,上海影视乐园,200,舒适,2018/7/31 23:01
387481,上海召稼楼景区,0,舒适,2018/7/31 23:01
387482,上海月湖雕塑公园,0,舒适,2018/7/31 23:01
387483,上海召稼楼景区,0,舒适,2018/7/31 23:01
387484,上海辰山植物园,22,舒适,2018/7/31 23:01
387485,上海鲜花港,34,舒适,2018/7/31 23:00
387486,上海市青少年校外活动营地——东方绿舟,2244,舒适,2018/7/31 23:00
387487,碧海金沙景区,34,舒适,2018/7/31 23:00
387488,上海花米庄行乡村旅游景区,0,舒适,2018/7/31 23:00
387489,上海玉穗绿苑,0,舒适,2018/7/31 23:00
387490,上海嘉定州桥,380,舒适,2018/7/31 23:00
387491,上海鲁迅公园,6464,较舒适,2018/7/31 23:00
387492,上海中医药博物馆,69,舒适,2018/7/31 23:00
387493,上海都市菜园景区,34,舒适,2018/7/31 23:00
387494,上海古猗园,0,舒适,2018/7/31 23:00
387495,上海老码头景区,452,舒适,2018/7/31 23:00
387496,上海植物园,5207,舒适,2018/7/31 23:00
387497,上海科技馆,0,舒适,2018/7/31 22:59
387498,上海植物园,5207,舒适,2018/7/31 22:59
387499,上海植物园,5207,舒适,2018/7/31 22:58
387500,东方假日田园,0,舒适,2018/7/31 22:58
387501,上海鲁迅公园,6463,较舒适,2018/7/31 22:58
387502,上海植物园,5207,舒适,2018/7/31 22:57
387503,上海田子坊景区,200,舒适,2018/7/31 22:57
387504,上海大观园,3,舒适,2018/7/31 22:57
387505,上海老码头景区,274,舒适,2018/7/31 22:57
387506,上海鲁迅公园,6453,较舒适,2018/7/31 22:56
387507,上海影视乐园,200,舒适,2018/7/31 22:56
387508,上海召稼楼景区,0,舒适,2018/7/31 22:56
387509,上海月湖雕塑公园,0,舒适,2018/7/31 22:56
387510,上海召稼楼景区,0,舒适,2018/7/31 22:56
387511,上海召稼楼景区,0,舒适,2018/7/31 22:56
387512,朱家角古镇,678,舒适,2018/7/31 22:55
387513,上海长风公园,0,舒适,2018/7/31 22:55
387514,上海植物园,5207,舒适,2018/7/31 22:55
387515,上海国际时尚中心,93,舒适,2018/7/31 22:55
387516,上海和平公园,2680,舒适,2018/7/31 22:55
387517,上海古猗园,0,舒适,2018/7/31 22:55
387518,上海科技馆,0,舒适,2018/7/31 22:54
387519,上海老码头景区,397,舒适,2018/7/31 22:54
387520,上海鲁迅公园,6452,较舒适,2018/7/31 22:54
387521,上海世纪公园,846,舒适,2018/7/31 22:54
387522,上海植物园,5207,舒适,2018/7/31 22:54
387523,中国航海博物馆,564,舒适,2018/7/31 22:54
387524,上海植物园,5207,舒适,2018/7/31 22:53
387525,东方假日田园,0,舒适,2018/7/31 22:53
387526,上海植物园,5207,舒适,2018/7/31 22:52
387527,上海鲁迅公园,6442,较舒适,2018/7/31 22:52
387528,上海大观园,3,舒适,2018/7/31 22:52
387529,周浦花海,1395,较舒适,2018/7/31 22:52
387530,上海田子坊景区,200,舒适,2018/7/31 22:52
387531,上海召稼楼景区,0,舒适,2018/7/31 22:51
387532,上海植物园,5207,舒适,2018/7/31 22:51
387533,上海召稼楼景区,0,舒适,2018/7/31 22:51
387534,上海老码头景区,220,舒适,2018/7/31 22:51
387535,上海月湖雕塑公园,0,舒适,2018/7/31 22:51
387536,上海影视乐园,200,舒适,2018/7/31 22:51
387537,上海植物园,5207,舒适,2018/7/31 22:50
387538,上海古猗园,0,舒适,2018/7/31 22:50
387539,上海鲁迅公园,6451,较舒适,2018/7/31 22:50
387540,上海植物园,5207,舒适,2018/7/31 22:49
387541,上海植物园,5207,舒适,2018/7/31 22:48
387542,上海鲁迅公园,6454,较舒适,2018/7/31 22:48
387543,上海科技馆,0,舒适,2018/7/31 22:48
387544,上海老码头景区,343,舒适,2018/7/31 22:48
387545,东方假日田园,0,舒适,2018/7/31 22:48
387546,上海植物园,5207,舒适,2018/7/31 22:47
387547,上海大观园,3,舒适,2018/7/31 22:47
387548,上海田子坊景区,200,舒适,2018/7/31 22:47
387549,上海植物园,5207,舒适,2018/7/31 22:46
387550,上海月湖雕塑公园,0,舒适,2018/7/31 22:46
387551,上海辰山植物园,22,舒适,2018/7/31 22:46
387552,上海影视乐园,200,舒适,2018/7/31 22:46
387553,上海召稼楼景区,0,舒适,2018/7/31 22:46
387554,上海鲁迅公园,6451,较舒适,2018/7/31 22:46
387555,上海海湾国家森林公园,72,舒适,2018/7/31 22:46
387556,上海召稼楼景区,0,舒适,2018/7/31 22:46
387557,上海植物园,5207,舒适,2018/7/31 22:45
387558,上海和平公园,2680,舒适,2018/7/31 22:45
387559,上海嘉定州桥,440,舒适,2018/7/31 22:45
387560,上海古猗园,0,舒适,2018/7/31 22:45
387561,上海老码头景区,465,舒适,2018/7/31 22:45
387562,上海鲁迅公园,6454,较舒适,2018/7/31 22:44
387563,上海世纪公园,846,舒适,2018/7/31 22:44
387564,中国航海博物馆,564,舒适,2018/7/31 22:44
387565,上海植物园,5207,舒适,2018/7/31 22:43
387566,上海科技馆,0,舒适,2018/7/31 22:43
387567,东方假日田园,0,舒适,2018/7/31 22:43
387568,上海植物园,5207,舒适,2018/7/31 22:42
387569,上海鲁迅公园,6452,较舒适,2018/7/31 22:42
387570,上海大观园,3,舒适,2018/7/31 22:42
387571,周浦花海,1395,较舒适,2018/7/31 22:42
387572,上海老码头景区,431,舒适,2018/7/31 22:42
387573,上海植物园,5207,舒适,2018/7/31 22:41
387574,上海影视乐园,200,舒适,2018/7/31 22:41
387575,上海月湖雕塑公园,0,舒适,2018/7/31 22:41
387576,上海召稼楼景区,0,舒适,2018/7/31 22:41
387577,上海召稼楼景区,0,舒适,2018/7/31 22:41
387578,上海召稼楼景区,0,舒适,2018/7/31 22:41
387579,上海田子坊景区,200,舒适,2018/7/31 22:41
387580,上海植物园,5207,舒适,2018/7/31 22:40
387581,上海古猗园,0,舒适,2018/7/31 22:40
387582,上海长风公园,0,舒适,2018/7/31 22:40
387583,上海鲁迅公园,6445,较舒适,2018/7/31 22:40
387584,上海植物园,5207,舒适,2018/7/31 22:39
387585,上海老码头景区,254,舒适,2018/7/31 22:39
387586,上海鲁迅公园,6442,较舒适,2018/7/31 22:38
387587,上海植物园,5207,舒适,2018/7/31 22:38
387588,上海科技馆,0,舒适,2018/7/31 22:38
387589,东方假日田园,0,舒适,2018/7/31 22:38
387590,上海植物园,5207,舒适,2018/7/31 22:37
387591,上海大观园,3,舒适,2018/7/31 22:37
387592,上海月湖雕塑公园,0,舒适,2018/7/31 22:36
387593,上海召稼楼景区,0,舒适,2018/7/31 22:36
387594,上海召稼楼景区,0,舒适,2018/7/31 22:36
387595,上海老码头景区,377,舒适,2018/7/31 22:36
387596,上海鲁迅公园,6444,较舒适,2018/7/31 22:36
387597,上海影视乐园,200,舒适,2018/7/31 22:36
387598,上海植物园,5207,舒适,2018/7/31 22:36
387599,上海和平公园,2680,舒适,2018/7/31 22:35
387600,朱家角古镇,685,舒适,2018/7/31 22:35
387601,上海植物园,5207,舒适,2018/7/31 22:35
387602,上海田子坊景区,200,舒适,2018/7/31 22:35
387603,上海古猗园,0,舒适,2018/7/31 22:35
387604,上海鲁迅公园,6433,较舒适,2018/7/31 22:34
387605,上海世纪公园,846,舒适,2018/7/31 22:34
387606,上海植物园,5207,舒适,2018/7/31 22:33
387607,上海科技馆,0,舒适,2018/7/31 22:33
387608,东方假日田园,0,舒适,2018/7/31 22:33
387609,上海老码头景区,200,舒适,2018/7/31 22:33
387610,中国航海博物馆,564,舒适,2018/7/31 22:32
387611,上海植物园,5207,舒适,2018/7/31 22:32
387612,上海鲁迅公园,6428,较舒适,2018/7/31 22:32
387613,上海大观园,3,舒适,2018/7/31 22:32
387614,周浦花海,1395,较舒适,2018/7/31 22:32
387615,上海植物园,5207,舒适,2018/7/31 22:31
387616,上海月湖雕塑公园,0,舒适,2018/7/31 22:31
387617,上海召稼楼景区,0,舒适,2018/7/31 22:31
387618,上海海湾国家森林公园,72,舒适,2018/7/31 22:31
387619,上海召稼楼景区,0,舒适,2018/7/31 22:31
387620,上海召稼楼景区,0,舒适,2018/7/31 22:31
387621,上海辰山植物园,22,舒适,2018/7/31 22:31
387622,上海植物园,5207,舒适,2018/7/31 22:30
387623,上海鲁迅公园,6420,较舒适,2018/7/31 22:30
387624,上海鲜花港,34,舒适,2018/7/31 22:30
387625,上海市青少年校外活动营地——东方绿舟,2244,舒适,2018/7/31 22:30
387626,上海老码头景区,323,舒适,2018/7/31 22:30
387627,碧海金沙景区,34,舒适,2018/7/31 22:30
387628,上海影视乐园,200,舒适,2018/7/31 22:30
387629,上海古猗园,0,舒适,2018/7/31 22:30
387630,上海玉穗绿苑,0,舒适,2018/7/31 22:30
387631,上海田子坊景区,200,舒适,2018/7/31 22:30
387632,上海中医药博物馆,69,舒适,2018/7/31 22:30
387633,上海都市菜园景区,34,舒适,2018/7/31 22:30
387634,上海嘉定州桥,486,舒适,2018/7/31 22:30
387635,上海花米庄行乡村旅游景区,0,舒适,2018/7/31 22:30
387636,上海植物园,5207,舒适,2018/7/31 22:29
387637,上海植物园,5207,舒适,2018/7/31 22:28
387638,东方假日田园,0,舒适,2018/7/31 22:28
387639,上海科技馆,0,舒适,2018/7/31 22:28
387640,上海鲁迅公园,6408,较舒适,2018/7/31 22:28
387641,上海植物园,5207,舒适,2018/7/31 22:27
387642,上海大观园,3,舒适,2018/7/31 22:27
387643,上海老码头景区,445,舒适,2018/7/31 22:27
387644,上海植物园,5207,舒适,2018/7/31 22:26
387645,上海鲁迅公园,6388,较舒适,2018/7/31 22:26
387646,上海召稼楼景区,0,舒适,2018/7/31 22:26
387647,上海召稼楼景区,0,舒适,2018/7/31 22:26
387648,上海月湖雕塑公园,0,舒适,2018/7/31 22:26
387649,上海长风公园,0,舒适,2018/7/31 22:25
387650,上海古猗园,0,舒适,2018/7/31 22:25
387651,上海植物园,5207,舒适,2018/7/31 22:25
387652,上海和平公园,2680,舒适,2018/7/31 22:25
387653,上海影视乐园,200,舒适,2018/7/31 22:25
387654,上海鲁迅公园,6386,较舒适,2018/7/31 22:24
387655,上海老码头景区,411,舒适,2018/7/31 22:24
387656,上海田子坊景区,200,舒适,2018/7/31 22:24
387657,上海世纪公园,846,舒适,2018/7/31 22:24
387658,上海植物园,5207,舒适,2018/7/31 22:24
387659,上海科技馆,0,舒适,2018/7/31 22:23
387660,上海植物园,5207,舒适,2018/7/31 22:23
387661,中国航海博物馆,564,舒适,2018/7/31 22:23
387662,东方假日田园,0,舒适,2018/7/31 22:23
387663,周浦花海,1395,较舒适,2018/7/31 22:22
387664,上海鲁迅公园,6374,较舒适,2018/7/31 22:22
387665,上海植物园,5207,舒适,2018/7/31 22:22
387666,上海大观园,3,舒适,2018/7/31 22:22
387667,上海召稼楼景区,0,舒适,2018/7/31 22:21
387668,上海召稼楼景区,0,舒适,2018/7/31 22:21
387669,上海月湖雕塑公园,0,舒适,2018/7/31 22:21
387670,上海召稼楼景区,0,舒适,2018/7/31 22:21
387671,上海鲁迅公园,6360,较舒适,2018/7/31 22:20
387672,上海古猗园,0,舒适,2018/7/31 22:20
387673,上海植物园,5207,舒适,2018/7/31 22:20
387674,上海老码头景区,234,舒适,2018/7/31 22:20
387675,上海影视乐园,200,舒适,2018/7/31 22:20
387676,上海田子坊景区,200,舒适,2018/7/31 22:19
387677,上海植物园,5207,舒适,2018/7/31 22:19
387678,上海植物园,5207,舒适,2018/7/31 22:18
387679,上海鲁迅公园,6353,较舒适,2018/7/31 22:18
387680,东方假日田园,0,舒适,2018/7/31 22:18
387681,上海植物园,5207,舒适,2018/7/31 22:17
387682,上海大观园,3,舒适,2018/7/31 22:17
387683,上海老码头景区,357,舒适,2018/7/31 22:17
387684,上海科技馆,0,舒适,2018/7/31 22:17
387685,上海植物园,5207,舒适,2018/7/31 22:16
387686,上海辰山植物园,22,舒适,2018/7/31 22:16
387687,上海海湾国家森林公园,72,舒适,2018/7/31 22:16
387688,上海鲁迅公园,6351,较舒适,2018/7/31 22:16
387689,上海和平公园,2680,舒适,2018/7/31 22:15
387690,上海植物园,5207,舒适,2018/7/31 22:15
387691,朱家角古镇,683,舒适,2018/7/31 22:15
387692,上海古猗园,0,舒适,2018/7/31 22:15
387693,上海召稼楼景区,0,舒适,2018/7/31 22:15
387694,上海影视乐园,200,舒适,2018/7/31 22:15
387695,上海国际旅游度假区,15552,舒适,2018/7/31 22:15
387696,上海月湖雕塑公园,0,舒适,2018/7/31 22:15
387697,上海召稼楼景区,0,舒适,2018/7/31 22:15
387698,上海嘉定州桥,622,舒适,2018/7/31 22:15
387699,上海植物园,5207,舒适,2018/7/31 22:14
387700,上海鲁迅公园,6342,较舒适,2018/7/31 22:14
387701,上海世纪公园,846,舒适,2018/7/31 22:14
387702,上海老码头景区,480,舒适,2018/7/31 22:14
387703,中国航海博物馆,564,舒适,2018/7/31 22:14
387704,上海田子坊景区,219,舒适,2018/7/31 22:14
387705,东方假日田园,0,舒适,2018/7/31 22:13
387706,上海植物园,5207,舒适,2018/7/31 22:13
387707,上海鲁迅公园,6344,较舒适,2018/7/31 22:12
387708,周浦花海,1395,较舒适,2018/7/31 22:12
387709,上海植物园,5207,舒适,2018/7/31 22:12
