序号,景区名称,客流数,舒适度,时间
1,上海月湖雕塑公园,0,舒适,2018/9/30 23:59
2,上海植物园,8451,舒适,2018/9/30 23:59
3,上海辰山植物园,53,舒适,2018/9/30 23:59
4,上海玻璃博物馆,762,舒适,2018/9/30 23:58
5,上海田子坊景区,200,舒适,2018/9/30 23:58
6,上海植物园,8451,舒适,2018/9/30 23:58
7,中国航海博物馆,0,舒适,2018/9/30 23:58
8,上海植物园,8451,舒适,2018/9/30 23:57
9,上海影视乐园,491,舒适,2018/9/30 23:57
10,上海古猗园,0,舒适,2018/9/30 23:57
11,上海召稼楼景区,5179,较舒适,2018/9/30 23:56
12,上海科技馆,0,舒适,2018/9/30 23:56
13,上海和平公园,3166,较舒适,2018/9/30 23:56
14,上海召稼楼景区,5179,较舒适,2018/9/30 23:56
15,东方假日田园,0,舒适,2018/9/30 23:56
16,上海植物园,8451,舒适,2018/9/30 23:55
17,上海长风公园,0,舒适,2018/9/30 23:55
18,上海国际时尚中心,637,舒适,2018/9/30 23:55
19,上海金山嘴渔村景区,46,舒适,2018/9/30 23:55
20,上海植物园,8451,舒适,2018/9/30 23:54
21,上海世纪公园,248,舒适,2018/9/30 23:54
22,上海月湖雕塑公园,0,舒适,2018/9/30 23:54
23,上海玻璃博物馆,762,舒适,2018/9/30 23:53
24,上海植物园,8451,舒适,2018/9/30 23:53
25,上海植物园,8451,舒适,2018/9/30 23:52
26,上海影视乐园,491,舒适,2018/9/30 23:52
27,上海田子坊景区,200,舒适,2018/9/30 23:52
28,上海古猗园,0,舒适,2018/9/30 23:52
29,上海科技馆,0,舒适,2018/9/30 23:51
30,东方假日田园,0,舒适,2018/9/30 23:51
31,上海植物园,8451,舒适,2018/9/30 23:51
32,上海召稼楼景区,5179,较舒适,2018/9/30 23:51
33,上海召稼楼景区,5179,较舒适,2018/9/30 23:51
34,上海植物园,8451,舒适,2018/9/30 23:50
35,上海金山嘴渔村景区,46,舒适,2018/9/30 23:50
36,上海植物园,8451,舒适,2018/9/30 23:49
37,上海月湖雕塑公园,0,舒适,2018/9/30 23:49
38,上海植物园,8451,舒适,2018/9/30 23:48
39,上海玻璃博物馆,762,舒适,2018/9/30 23:48
40,上海植物园,8451,舒适,2018/9/30 23:47
41,上海田子坊景区,200,舒适,2018/9/30 23:47
42,朱家角古镇,710,舒适,2018/9/30 23:47
43,上海影视乐园,491,舒适,2018/9/30 23:47
44,上海古猗园,0,舒适,2018/9/30 23:47
45,上海和平公园,3166,较舒适,2018/9/30 23:46
46,上海召稼楼景区,5179,较舒适,2018/9/30 23:46
47,上海召稼楼景区,5179,较舒适,2018/9/30 23:46
48,上海召稼楼景区,5179,较舒适,2018/9/30 23:46
49,上海植物园,8451,舒适,2018/9/30 23:46
50,东方假日田园,0,舒适,2018/9/30 23:46
51,中国航海博物馆,0,舒适,2018/9/30 23:46
52,上海金山嘴渔村景区,46,舒适,2018/9/30 23:45
53,上海嘉定州桥,990,舒适,2018/9/30 23:45
54,上海科技馆,0,舒适,2018/9/30 23:45
55,上海植物园,8451,舒适,2018/9/30 23:44
56,上海世纪公园,248,舒适,2018/9/30 23:44
57,上海辰山植物园,53,舒适,2018/9/30 23:44
58,上海植物园,8451,舒适,2018/9/30 23:43
59,上海月湖雕塑公园,0,舒适,2018/9/30 23:43
60,上海玻璃博物馆,762,舒适,2018/9/30 23:43
61,上海植物园,8451,舒适,2018/9/30 23:42
62,上海古猗园,0,舒适,2018/9/30 23:42
63,上海影视乐园,491,舒适,2018/9/30 23:42
64,上海植物园,8451,舒适,2018/9/30 23:41
65,东方假日田园,0,舒适,2018/9/30 23:41
66,上海召稼楼景区,5179,较舒适,2018/9/30 23:41
67,上海召稼楼景区,5179,较舒适,2018/9/30 23:41
68,上海田子坊景区,200,舒适,2018/9/30 23:41
69,上海植物园,8451,舒适,2018/9/30 23:40
70,上海长风公园,0,舒适,2018/9/30 23:40
71,上海科技馆,0,舒适,2018/9/30 23:40
72,上海金山嘴渔村景区,46,舒适,2018/9/30 23:40
73,上海植物园,8451,舒适,2018/9/30 23:39
74,上海植物园,8451,舒适,2018/9/30 23:38
75,上海月湖雕塑公园,0,舒适,2018/9/30 23:38
76,上海玻璃博物馆,762,舒适,2018/9/30 23:38
77,上海植物园,8451,舒适,2018/9/30 23:37
78,中国航海博物馆,0,舒适,2018/9/30 23:37
79,上海影视乐园,491,舒适,2018/9/30 23:37
80,上海古猗园,0,舒适,2018/9/30 23:37
81,上海植物园,8451,舒适,2018/9/30 23:36
82,上海田子坊景区,200,舒适,2018/9/30 23:36
83,东方假日田园,0,舒适,2018/9/30 23:36
84,上海召稼楼景区,5179,较舒适,2018/9/30 23:36
85,上海和平公园,3166,较舒适,2018/9/30 23:36
86,上海召稼楼景区,5179,较舒适,2018/9/30 23:36
87,上海召稼楼景区,5179,较舒适,2018/9/30 23:36
88,上海金山嘴渔村景区,47,舒适,2018/9/30 23:35
89,上海植物园,8451,舒适,2018/9/30 23:35
90,上海科技馆,0,舒适,2018/9/30 23:35
91,上海植物园,8451,舒适,2018/9/30 23:34
92,上海世纪公园,248,舒适,2018/9/30 23:34
93,上海玻璃博物馆,762,舒适,2018/9/30 23:33
94,上海植物园,8451,舒适,2018/9/30 23:33
95,上海月湖雕塑公园,0,舒适,2018/9/30 23:33
96,上海影视乐园,491,舒适,2018/9/30 23:32
97,上海植物园,8451,舒适,2018/9/30 23:32
98,上海古猗园,0,舒适,2018/9/30 23:32
99,东方假日田园,0,舒适,2018/9/30 23:31
100,上海召稼楼景区,5179,较舒适,2018/9/30 23:31
101,上海召稼楼景区,5179,较舒适,2018/9/30 23:31
102,上海玉穗绿苑,717,舒适,2018/9/30 23:30
103,上海中医药博物馆,55,舒适,2018/9/30 23:30
104,上海科技馆,0,舒适,2018/9/30 23:30
105,上海都市菜园景区,710,舒适,2018/9/30 23:30
106,上海田子坊景区,200,舒适,2018/9/30 23:30
107,上海嘉定州桥,934,舒适,2018/9/30 23:30
108,上海海湾国家森林公园,2410,舒适,2018/9/30 23:30
109,上海鲜花港,41,舒适,2018/9/30 23:30
110,上海市青少年校外活动营地——东方绿舟,4365,舒适,2018/9/30 23:30
111,上海金山嘴渔村景区,47,舒适,2018/9/30 23:30
112,碧海金沙景区,41,舒适,2018/9/30 23:30
113,上海花米庄行乡村旅游景区,0,舒适,2018/9/30 23:30
114,上海植物园,8451,舒适,2018/9/30 23:30
115,上海辰山植物园,53,舒适,2018/9/30 23:29
116,上海植物园,8451,舒适,2018/9/30 23:29
117,上海植物园,8451,舒适,2018/9/30 23:28
118,上海月湖雕塑公园,0,舒适,2018/9/30 23:28
119,上海玻璃博物馆,762,舒适,2018/9/30 23:28
120,中国航海博物馆,0,舒适,2018/9/30 23:27
121,上海植物园,8451,舒适,2018/9/30 23:27
122,朱家角古镇,702,舒适,2018/9/30 23:27
123,上海古猗园,0,舒适,2018/9/30 23:27
124,上海影视乐园,491,舒适,2018/9/30 23:27
125,上海植物园,8451,舒适,2018/9/30 23:26
126,上海召稼楼景区,5179,较舒适,2018/9/30 23:26
127,上海召稼楼景区,5179,较舒适,2018/9/30 23:26
128,上海和平公园,3166,较舒适,2018/9/30 23:26
129,东方假日田园,0,舒适,2018/9/30 23:26
130,上海植物园,8451,舒适,2018/9/30 23:25
131,上海金山嘴渔村景区,47,舒适,2018/9/30 23:25
132,上海长风公园,0,舒适,2018/9/30 23:25
133,上海科技馆,0,舒适,2018/9/30 23:25
134,上海田子坊景区,200,舒适,2018/9/30 23:25
135,上海世纪公园,248,舒适,2018/9/30 23:24
136,上海植物园,8451,舒适,2018/9/30 23:24
137,上海植物园,8451,舒适,2018/9/30 23:23
138,上海月湖雕塑公园,0,舒适,2018/9/30 23:23
139,上海玻璃博物馆,762,舒适,2018/9/30 23:23
140,上海植物园,8451,舒适,2018/9/30 23:22
141,上海古猗园,0,舒适,2018/9/30 23:22
142,上海影视乐园,491,舒适,2018/9/30 23:22
143,上海植物园,8451,舒适,2018/9/30 23:21
144,东方假日田园,0,舒适,2018/9/30 23:21
145,上海召稼楼景区,5179,较舒适,2018/9/30 23:21
146,上海召稼楼景区,5179,较舒适,2018/9/30 23:21
147,上海召稼楼景区,5179,较舒适,2018/9/30 23:21
148,上海金山嘴渔村景区,47,舒适,2018/9/30 23:20
149,上海科技馆,0,舒适,2018/9/30 23:20
150,上海植物园,8451,舒适,2018/9/30 23:20
151,上海植物园,8451,舒适,2018/9/30 23:19
152,上海田子坊景区,200,舒适,2018/9/30 23:19
153,上海月湖雕塑公园,0,舒适,2018/9/30 23:18
154,上海植物园,8451,舒适,2018/9/30 23:18
155,上海玻璃博物馆,762,舒适,2018/9/30 23:18
156,上海植物园,8451,舒适,2018/9/30 23:17
157,上海古猗园,0,舒适,2018/9/30 23:17
158,东方假日田园,0,舒适,2018/9/30 23:16
159,上海影视乐园,491,舒适,2018/9/30 23:16
160,上海召稼楼景区,5179,较舒适,2018/9/30 23:16
