序号,景区名称,客流数,舒适度,时间
172371,上海月湖雕塑公园,0,舒适,2018/8/31 23:28
172372,上海影视乐园,200,舒适,2018/8/31 23:27
172373,上海植物园,5726,舒适,2018/8/31 23:27
172374,上海植物园,5726,舒适,2018/8/31 23:26
172375,上海影视乐园,200,舒适,2018/8/31 23:26
172376,上海东林寺景区,0,舒适,2018/8/31 23:26
172377,上海田子坊景区,596,舒适,2018/8/31 23:26
172378,上海金山嘴渔村景区,48,舒适,2018/8/31 23:26
172379,上海植物园,5726,舒适,2018/8/31 23:25
172380,上海长风公园,0,舒适,2018/8/31 23:25
172381,上海和平公园,3248,较舒适,2018/8/31 23:25
172382,上海世纪公园,506,舒适,2018/8/31 23:25
172383,上海科技馆,0,舒适,2018/8/31 23:25
172384,东方假日田园,0,舒适,2018/8/31 23:24
172385,上海植物园,5726,舒适,2018/8/31 23:24
172386,上海大观园,3,舒适,2018/8/31 23:24
172387,上海月湖雕塑公园,0,舒适,2018/8/31 23:23
172388,上海植物园,5726,舒适,2018/8/31 23:23
172389,上海古猗园,0,舒适,2018/8/31 23:23
172390,上海植物园,5726,舒适,2018/8/31 23:22
172391,上海影视乐园,200,舒适,2018/8/31 23:22
172392,上海田子坊景区,612,舒适,2018/8/31 23:21
172393,上海植物园,5726,舒适,2018/8/31 23:21
172394,上海植物园,5726,舒适,2018/8/31 23:20
172395,上海影视乐园,200,舒适,2018/8/31 23:20
172396,上海科技馆,0,舒适,2018/8/31 23:20
172397,上海植物园,5726,舒适,2018/8/31 23:19
172398,周浦花海,283,舒适,2018/8/31 23:19
172399,上海大观园,3,舒适,2018/8/31 23:19
172400,东方假日田园,0,舒适,2018/8/31 23:19
172401,中国航海博物馆,45,舒适,2018/8/31 23:18
172402,上海植物园,5726,舒适,2018/8/31 23:18
172403,上海古猗园,0,舒适,2018/8/31 23:18
172404,上海金山嘴渔村景区,49,舒适,2018/8/31 23:18
172405,上海月湖雕塑公园,0,舒适,2018/8/31 23:18
172406,上海影视乐园,200,舒适,2018/8/31 23:17
172407,上海辰山植物园,58,舒适,2018/8/31 23:17
172408,上海东林寺景区,0,舒适,2018/8/31 23:16
172409,上海植物园,5726,舒适,2018/8/31 23:16
172410,上海植物园,5726,舒适,2018/8/31 23:15
172411,上海世纪公园,506,舒适,2018/8/31 23:15
172412,上海和平公园,3248,较舒适,2018/8/31 23:15
172413,上海嘉定州桥,204,舒适,2018/8/31 23:15
172414,上海田子坊景区,625,舒适,2018/8/31 23:15
172415,上海影视乐园,200,舒适,2018/8/31 23:15
172416,上海科技馆,0,舒适,2018/8/31 23:15
172417,上海植物园,5726,舒适,2018/8/31 23:14
172418,上海大观园,3,舒适,2018/8/31 23:14
172419,东方假日田园,0,舒适,2018/8/31 23:14
172420,上海古猗园,0,舒适,2018/8/31 23:13
172421,上海植物园,5726,舒适,2018/8/31 23:13
172422,上海影视乐园,200,舒适,2018/8/31 23:12
172423,上海植物园,5726,舒适,2018/8/31 23:12
172424,上海月湖雕塑公园,0,舒适,2018/8/31 23:12
172425,上海植物园,5726,舒适,2018/8/31 23:11
172426,上海田子坊景区,621,舒适,2018/8/31 23:10
172427,上海长风公园,0,舒适,2018/8/31 23:10
172428,上海植物园,5726,舒适,2018/8/31 23:10
172429,上海影视乐园,200,舒适,2018/8/31 23:10
172430,上海金山嘴渔村景区,50,舒适,2018/8/31 23:10
172431,东方假日田园,0,舒适,2018/8/31 23:09
172432,上海大观园,3,舒适,2018/8/31 23:09
172433,中国航海博物馆,45,舒适,2018/8/31 23:09
172434,上海科技馆,0,舒适,2018/8/31 23:09
172435,上海植物园,5726,舒适,2018/8/31 23:09
172436,周浦花海,283,舒适,2018/8/31 23:09
172437,上海植物园,5726,舒适,2018/8/31 23:08
172438,上海古猗园,0,舒适,2018/8/31 23:08
172439,朱家角古镇,640,舒适,2018/8/31 23:08
172440,上海植物园,5726,舒适,2018/8/31 23:07
172441,上海月湖雕塑公园,0,舒适,2018/8/31 23:07
172442,上海影视乐园,200,舒适,2018/8/31 23:07
172443,上海东林寺景区,0,舒适,2018/8/31 23:06
172444,上海植物园,5726,舒适,2018/8/31 23:06
172445,上海世纪公园,506,舒适,2018/8/31 23:05
172446,上海和平公园,3248,较舒适,2018/8/31 23:05
172447,上海影视乐园,200,舒适,2018/8/31 23:05
172448,上海植物园,5726,舒适,2018/8/31 23:05
172449,东方假日田园,0,舒适,2018/8/31 23:04
172450,上海科技馆,0,舒适,2018/8/31 23:04
172451,上海田子坊景区,634,舒适,2018/8/31 23:04
172452,上海大观园,3,舒适,2018/8/31 23:04
172453,上海古猗园,0,舒适,2018/8/31 23:03
172454,上海植物园,5726,舒适,2018/8/31 23:03
172455,上海植物园,5726,舒适,2018/8/31 23:02
172456,上海月湖雕塑公园,0,舒适,2018/8/31 23:02
172457,上海金山嘴渔村景区,50,舒适,2018/8/31 23:02
172458,上海辰山植物园,58,舒适,2018/8/31 23:02
172459,上海影视乐园,200,舒适,2018/8/31 23:01
172460,上海植物园,5726,舒适,2018/8/31 23:01
172461,上海植物园,5726,舒适,2018/8/31 23:00
172462,上海鲜花港,34,舒适,2018/8/31 23:00
172463,上海市青少年校外活动营地——东方绿舟,1688,舒适,2018/8/31 23:00
172464,碧海金沙景区,34,舒适,2018/8/31 23:00
172465,上海花米庄行乡村旅游景区,0,舒适,2018/8/31 23:00
172466,中国航海博物馆,45,舒适,2018/8/31 23:00
172467,上海中医药博物馆,41,舒适,2018/8/31 23:00
172468,上海都市菜园景区,34,舒适,2018/8/31 23:00
172469,上海影视乐园,200,舒适,2018/8/31 23:00
172470,上海嘉定州桥,168,舒适,2018/8/31 23:00
172471,上海玉穗绿苑,1540,舒适,2018/8/31 23:00
172472,上海植物园,5726,舒适,2018/8/31 22:59
172473,上海田子坊景区,664,舒适,2018/8/31 22:59
172474,周浦花海,283,舒适,2018/8/31 22:59
172475,上海大观园,3,舒适,2018/8/31 22:59
172476,上海科技馆,0,舒适,2018/8/31 22:59
172477,东方假日田园,0,舒适,2018/8/31 22:59
172478,上海古猗园,0,舒适,2018/8/31 22:58
172479,上海植物园,5726,舒适,2018/8/31 22:58
172480,上海月湖雕塑公园,0,舒适,2018/8/31 22:57
172481,上海植物园,5726,舒适,2018/8/31 22:57
172482,上海植物园,5726,舒适,2018/8/31 22:56
172483,上海东林寺景区,0,舒适,2018/8/31 22:56
172484,上海影视乐园,200,舒适,2018/8/31 22:56
172485,上海国际时尚中心,138,舒适,2018/8/31 22:55
172486,上海影视乐园,200,舒适,2018/8/31 22:55
172487,上海和平公园,3248,较舒适,2018/8/31 22:55
172488,上海长风公园,0,舒适,2018/8/31 22:55
172489,上海世纪公园,506,舒适,2018/8/31 22:55
